# Date, Time,  Distance, Pitch
8/4/2022 ,16:11:22 ,097, 7.64
8/4/2022 ,16:11:22 ,097, 7.75
8/4/2022 ,16:11:22 ,097, 7.76
8/4/2022 ,16:11:22 ,097, 7.82
8/4/2022 ,16:11:22 ,097, 7.64
8/4/2022 ,16:11:22 ,097, 7.64
8/4/2022 ,16:11:22 ,097, 7.60
8/4/2022 ,16:11:22 ,097, 7.61
8/4/2022 ,16:11:22 ,097, 7.93
8/4/2022 ,16:11:22 ,096, 7.69
8/4/2022 ,16:11:22 ,097, 7.58
8/4/2022 ,16:11:22 ,097, 7.67
8/4/2022 ,16:11:22 ,097, 7.81
8/4/2022 ,16:11:22 ,096, 7.69
8/4/2022 ,16:11:23 ,097, 7.74
8/4/2022 ,16:11:23 ,097, 7.62
8/4/2022 ,16:11:23 ,097, 7.71
8/4/2022 ,16:11:23 ,097, 7.55
8/4/2022 ,16:11:23 ,097, 7.68
8/4/2022 ,16:11:23 ,097, 7.88
8/4/2022 ,16:11:23 ,097, 7.79
8/4/2022 ,16:11:23 ,097, 7.77
8/4/2022 ,16:11:23 ,096, 7.90
8/4/2022 ,16:11:23 ,096, 7.70
8/4/2022 ,16:11:23 ,096, 7.81
8/4/2022 ,16:11:23 ,096, 7.53
8/4/2022 ,16:11:23 ,097, 7.71
8/4/2022 ,16:11:23 ,096, 7.69
8/4/2022 ,16:11:23 ,096, 7.56
8/4/2022 ,16:11:23 ,097, 7.78
8/4/2022 ,16:11:23 ,096, 7.79
8/4/2022 ,16:11:23 ,097, 7.66
8/4/2022 ,16:11:23 ,097, 7.73
8/4/2022 ,16:11:23 ,096, 7.53
8/4/2022 ,16:11:24 ,096, 7.69
8/4/2022 ,16:11:24 ,097, 7.70
8/4/2022 ,16:11:24 ,096, 7.81
8/4/2022 ,16:11:24 ,097, 7.70
8/4/2022 ,16:11:24 ,097, 7.61
8/4/2022 ,16:11:24 ,097, 7.79
8/4/2022 ,16:11:24 ,097, 7.70
8/4/2022 ,16:11:24 ,096, 7.69
